Subplot number,Tag,Species,DBH,Quadrant,subqu,Lianas,Illumination,Nota,,,
90,786,Jacaranda copaia,715,4507,12,0,100,,,,
74,66921,Lacmellea panamensis,282,3810,14,0,0,,,,
31,416230,Laetia procera,386,1607,23,0,100,,,,
24,192153,Lonchocarpus heptaphyllus,273,1411,34,0,100,,,,
24,6192,Lonchocarpus heptaphyllus,478,1310,23,0,100,,,,
31,5654,Lonchocarpus heptaphyllus,442,1608,13,0,100,,,,
77,64185,Lonchocarpus heptaphyllus,341,3921,32,0,100,,,,
65,3028,Luehea seemannii,403,3211,11,0,10,,,,
82,1293,Luehea seemannii,1161,4215,22,0,100,,,,
58,3613,Macrocnemum roseum,579,2905,32,0,5,,,,
82,42275,Macrocnemum roseum,364,4314,23,0,5,,,,
15,233621,Nectandra cissiflora,282,620,32,0,100,,,,
40,160651,Nectandra cissiflora,296,2003,34,0,5,,,,
18,218546,Ocotea cernua,230,919,23,0,5,fallen tree,,,
19,206437,Ocotea cernua,275,1108,34,0,85,,,,
20,207696,Ocotea cernua,289,1114,22,0,5,,,,
77,539281,Ocotea oblonga,372,3921,31,0,100,,,,
58,3609,Ocotea whitei,209,2905,23,0,90,,,,
58,3609,Ocotea whitei,550,2905,23,0,100,,,,
64,3122,Ormosia coccinea,542,3224,23,0,100,,,,
24,5988,Platymiscium pinnatum,609,1410,11,0,100,no leaves,,,
28,5633,Platymiscium pinnatum,468,1604,42,0,100,,,,
59,3742,Platymiscium pinnatum,542,2813,31,0,100,,,,
74,1986,Platymiscium pinnatum,348,3811,14,0,5,,,,
8,236970,Poulsenia armata,350,511,44,0,100,,,,
18,218488,Poulsenia armata,540,919,11,0,100,,,,
82,1280,Poulsenia armata,363,4214,44,0,100,,,,
83,871,Poulsenia armata,491,4406,24,0,100,,,,
91,34060,Poulsenia armata,251,4520,23,0,5,,,,
91,674,Poulsenia armata,323,4521,22,0,10,,,,
91,628,Poulsenia armata,354,4621,22,0,5,broken crown,,,
94,363,Poulsenia armata,568,4716,14,0,100,,,,
1,400788,Pourouma bicolor,467,20,32,0,100,,,,
49,4520,Pouteria fossicola,452,2317,21,0,5,,,,
19,211500,Pouteria reticulata,385,1008,32,0,95,,,,
23,5949,Pouteria reticulata,445,1404,24,0,100,,,,
59,3556,Pouteria reticulata,380,2913,33,0,90,,,,
74,72077,Pouteria reticulata,335,3710,41,0,100,,,,
83,1133,Pouteria reticulata,402,4307,12,0,0,,,,
28,186066,Pouteria stipitata,205,1505,11,0,50,,,,
11,7344,Prioria copaifera,1120,605,43,0,100,,,,
19,6559,Prioria copaifera,660,1108,41,0,100,broken crown,,,
31,5655,Prioria copaifera,840,1608,14,0,100,broken crown,,,
47,4607,Prioria copaifera,535,2303,41,0,10,,,,
47,4651,Prioria copaifera,837,2202,44,0,100,,,,
47,4611,Prioria copaifera,1069,2302,24,0,20,,,,
47,4652,Prioria copaifera,1110,2203,41,0,100,,,,
51,146718,Prioria copaifera,531,2309,44,0,100,,,,
82,42366,Prioria copaifera,219,4315,13,0,5,,,,
83,41150,Prioria copaifera,214,4307,11,0,0,,,,
68,44694,Protium costaricense,209,3315,23,0,0,,,,
58,3604,Protium tenuifolium,300,2906,32,0,20,,,,
82,39422,Protium tenuifolium,224,4314,41,0,5,,,,
91,34186,Protium tenuifolium,214,4520,41,0,100,,,,
91,672,Protium tenuifolium,315,4521,32,0,25,,,,
94,28045,Protium tenuifolium,203,4616,14,0,100,,,,
94,28280,Protium tenuifolium,254,4617,24,0,50,,,,
64,3124,Pseudobombax septenatum,755,3224,14,0,100,,,,
1,263425,Quararibea asterolepis,220,20,14,0,0,,,,
