"tag","dbh","lianaLoad","species","subplot","ptQuality","totVol","totVolSD","totArea","totAreaSD","trunkArea","trunkAreaSD","trunkVol","trunkVolSD","branchVol12","branchVol12SD","branchArea12","branchArea12SD","branchLen12","branchLen12SD","branchNo12","branchNo12SD"
6758,61.8,50,"Tabernaemontana arborea",20,"ok",4857.74,65.94,105.18,4.6,29.45,0.38,3289.6,32.65,1568.14,83.38,75.73,4.77,371.17,30.18,214,21
7343,48.2,5,"Apeiba membranacea",11,"ok",2572.52,125.16,40.9,2.23,21.09,1,2053.82,102.57,518.7,65.56,19.81,1.68,74.57,6.31,31,4
7344,112,0,"Prioria copaifera",11,"ok",17384.5,627.33,200.81,22.11,69.12,2.29,13505.45,544.88,3879.05,687.56,131.69,22.12,471.39,90.48,206,50
7594,66.1,90,"Prioria copaifera",11,"ok",8710.25,2066.3,114.4,12.52,49.7,4.79,6388.52,1528.03,2321.72,702.21,64.7,8.59,210.18,13.73,102,7
7598,42.3,10,"Trichilia tuberculata",11,"ok",2482.48,137.16,65.08,2.33,20.66,0.55,1556.19,107.59,926.29,47.38,44.42,2.2,207.18,11.24,116,12
8205,65.9,50,"Aspidosperma spruceanum",1,"ok",6923.9,781.36,104.28,15.38,42.17,2.45,5214.19,427.98,1709.71,425.97,62.11,13.6,220.09,43.59,84,16
8517,42.2,100,"Trichilia tuberculata",1,"ok",2225.84,512.56,46.57,2.09,20.65,0.11,1472.09,515.05,753.76,45.29,25.92,2.13,102.8,9.77,63,8
27972,49.2,0,"Virola surinamensis",94,"ok",3927.37,113.21,71.58,2.87,32.23,0.36,3249.88,136.65,677.5,54.23,39.35,2.88,204.62,14.59,98,10
28494,47,20,"Poulsenia armata",94,"ok",4119.17,332.86,63.95,3.46,32.41,2.36,3270.27,346.97,848.89,93.08,31.54,2.67,117.59,9.14,41,3
28496,41.1,0,"Beilschmiedia pendula",94,"ok",2096.04,87.67,41.76,1.13,23.31,0.4,1727.92,70.92,368.12,32.01,18.45,1.23,91.03,6.32,48,4
34090,44.2,0,"Virola surinamensis",91,"ok",2442.63,67.15,70.28,3.28,22.13,0.2,1622.9,10.8,819.73,66.48,48.15,3.31,258.19,16.58,172,11
42267,57.7,0,"Virola surinamensis",82,"ok",6241.17,422.68,103.61,7.84,43.15,0.57,5097.16,354.41,1144.01,165.84,60.46,7.37,291.63,37.23,162,22
56970,32.8,0,"Quararibea asterolepis",77,"ok",2093.43,85.49,67.23,5.72,18.67,0.37,1239.27,59.79,854.16,96.48,48.56,5.52,254.7,31.34,156,20
56972,29.8,10,"Beilschmiedia pendula",77,"ok",908.34,65.88,24.46,1.47,14.43,0.2,747.76,64.76,160.58,31.77,10.03,1.41,62.69,5.8,51,6
58410,22.6,70,"Trichilia tuberculata",77,"ok",862.28,38.04,36.44,2.6,10.54,0.31,422.57,43.16,439.72,49.29,25.91,2.33,145.04,10.9,126,13
63940,39.3,25,"Trichilia tuberculata",77,"ok",2442.51,43.41,72.55,2.29,19.74,0.36,1452.34,25.02,990.17,42.76,52.81,2.45,264.19,14.3,158,11
64105,41.7,0,"Simarouba amara",77,"ok",2409.57,64.46,61.25,3.57,21.34,0.46,1561.12,22.34,848.45,55.25,39.91,3.35,186.54,21.09,117,17
77147,39.1,10,"Prioria copaifera",72,"ok",1951.43,156.68,56.55,1.66,18.2,0.3,1252.89,123.22,698.54,57.82,38.36,1.66,191.09,6.75,94,6
82836,45.3,0,"Trichilia tuberculata",69,"ok",2998.65,120.13,71.38,4.35,24.7,0.46,1993.23,31.4,1005.42,103.21,46.68,4.18,202.74,14.91,84,9
82848,35.9,0,"Beilschmiedia pendula",69,"ok",1406.49,32.12,37.26,1.16,15.02,0.31,998.96,13.19,407.53,23.61,22.23,1.04,116.88,4.78,101,3
87652,58.6,5,"Turpinia occidentalis",68,"ok",2034.34,33.79,49.67,1.4,12.75,0.15,989.53,15.57,1044.81,26.81,36.92,1.36,155.63,6.39,78,8
87714,40.6,5,"Alchornea costaricensis",68,"ok",1638.54,117.54,50.3,3.89,11.83,0.23,863.43,12.43,775.11,111.84,38.47,3.82,195.62,15.39,153,15
87943,42.9,5,"Alchornea costaricensis",69,"ok",1081.96,44.41,21.93,1.64,11.25,0.22,796.09,16.89,285.86,41.85,10.68,1.72,40.84,9.15,12,4
92320,43.2,50,"Quararibea asterolepis",65,"ok",2474.63,64.9,49.44,3.11,22.67,0.43,1989.98,20.1,484.64,52.2,26.77,2.87,145.19,16,92,9
97226,39,0,"Quararibea asterolepis",65,"ok",2392.75,103.47,70.1,5.91,20.25,0.26,1580.07,13.27,812.67,95.11,49.85,5.72,277.44,30.81,158,21
99492,33.5,100,"Trichilia tuberculata",64,"ok",1124.14,22.87,30.92,0.96,12.7,0.06,828.17,4.19,295.97,22.81,18.22,0.97,110.65,5.9,71,8
99532,37.1,50,"Alseis blackiana",64,"ok",1271.47,39.26,31.35,1.44,14.95,0.29,979.02,19.64,292.45,28.98,16.4,1.36,89.27,7.16,56,5
99598,31.2,100,"Trichilia tuberculata",64,"ok",1606.44,59.22,51.07,2.92,14.39,0.17,881.9,38.95,724.55,57.13,36.68,2.96,185.88,17.77,116,15
99837,34.5,90,"Alseis blackiana",64,"ok",1480.99,32.39,42.28,1.9,15.97,0.26,1030.47,9.18,450.52,36.11,26.31,2.05,146.3,12.32,81,9
104784,48.5,100,"Tachigali versicolor",64,"ok",4370.38,202.91,59.02,2.1,29.29,1.73,3180.67,150.77,1189.71,89.84,29.73,1.2,80.76,3.11,36,6
104880,43.5,10,"Trichilia tuberculata",64,"ok",2943.23,125.66,74.9,5.75,22.21,0.23,1791.26,19.17,1151.97,114.58,52.69,5.57,235.3,24.21,90,11
146382,100.5,0,"Tachigali versicolor",51,"ok",23195.68,1299.76,339.54,39.33,74.89,5.43,15194.67,1043.87,8001.01,1067.15,264.65,40.53,952.08,174.96,333,65
146718,53.1,0,"Prioria copaifera",51,"ok",5182.95,1247.71,88.02,9.95,33.58,6.77,3745.35,1017.77,1437.59,275.52,54.43,4.56,221.19,14.49,111,14
147736,49.6,5,"Terminalia amazonia",49,"ok",6073.85,83.93,121.86,5.19,38.16,0.42,4230.35,35.6,1843.51,93.02,83.7,5.15,378.59,27.09,174,14
180904,40.5,0,"Jacaranda copaia",28,"ok",1782.19,40.03,31.82,1.57,22.01,0.59,1586.97,20.85,195.22,36.9,9.81,1.61,47.25,7.87,24,5
181416,55.5,0,"Jacaranda copaia",31,"ok",4710.37,205.08,72.29,6.35,30.74,1.22,3515.11,98.07,1195.26,128.7,41.55,5.34,154.41,27.93,63,13
181499,52,0,"Spondias mombin",31,"ok",4606.57,258.31,77.74,9.61,29.45,0.67,3149.68,47.56,1456.89,233.77,48.29,9.19,185.65,46.78,76,22
181738,48.3,100,"Trichilia tuberculata",31,"ok",3025.91,282.88,77.41,7.18,23.65,0.54,1697.62,196.4,1328.28,145.25,53.76,6.85,237.62,36.69,114,25
185937,46.2,0,"Jacaranda copaia",28,"ok",2499.04,182.52,51.74,3.72,24.77,0.3,1902.9,184.95,596.14,78.1,26.97,3.51,116.84,15,41,7
191977,36.8,0,"Alseis blackiana",24,"ok",1857.35,34.05,64.51,1.56,14.74,0.18,925.31,8.22,932.05,37.46,49.76,1.61,242.53,12.26,174,17
198486,33.4,0,"Trichilia tuberculata",24,"ok",1481.31,60.79,39.97,1.59,14.73,0.19,903.89,57.5,577.42,51.44,25.25,1.66,105.22,6.05,43,3
198534,56.2,0,"Vochysia ferruginea",24,"ok",4804.3,118.5,73.61,3.45,33.12,0.42,3787.35,28.1,1016.96,105.6,40.49,3.29,152.49,10.38,54,7
206350,57.4,0,"Jacaranda copaia",19,"ok",4163.28,147.21,65.44,3.12,33.8,0.51,3425.78,162.36,737.49,89.8,31.64,3.22,132.74,15.2,55,7
211309,45.6,0,"Simarouba amara",19,"ok",2407.39,225.39,51.58,3.4,25.4,0.87,1895.32,262.87,512.06,107.66,26.18,4.17,129.24,16.67,60,10
212886,57.3,0,"Tachigali versicolor",20,"ok",8161.34,685.72,139.13,11.16,39.28,0.22,4441.75,711.86,3719.59,416.38,99.86,11.17,341.02,35.99,115,12
213134,41,0,"Trichilia tuberculata",20,"ok",2688.46,86.71,68.18,2.66,22.6,0.2,1771.53,66.47,916.93,55.8,45.58,2.68,215.87,14.57,110,13
235969,45,0,"Guatteria dumetorum",11,"ok",3413.87,545.12,68.62,4.63,27.4,2.62,2482.56,513.95,931.3,110.49,41.22,4.13,178.49,20.93,80,12
400788,46.7,0,"Pourouma bicolor",1,"ok",3624.97,127.06,92.79,4.32,22.78,0.42,2157.95,47.52,1467.02,92.23,70.01,4.02,316.18,16.27,130,7
539281,37.2,0,"Ocotea oblonga",77,"ok",2566.41,60.28,73.64,3.13,21.19,0.32,1599.5,19.16,966.9,56.43,52.45,3.14,270.91,17.73,170,12
633195,39.4,0,"Cecropia insignis",68,"ok",1941.13,421.76,51.78,2.13,21.65,0.22,1407.89,415.84,533.24,50.37,30.13,2.04,150.57,9.49,66,4
