"tag","dbh","lianaLoad","species","subplot","ptQuality","totVol","totArea","trunkArea","trunkVol","branchVol12","branchArea12","branchLen12","branchNo12"
507,73.8,100,"Hura crepitans",92,"ok",6697.183,85.898735,39.72011,4991.3057,1705.8774,46.178623,149.23123,70
507,73.8,100,"Hura crepitans",92,"ok",6974.5283,95.23833,38.834373,4980.46,1994.0684,56.403957,183.24547,86
507,73.8,100,"Hura crepitans",92,"ok",6930.295,91.12503,40.189297,4992.1357,1938.1589,50.93573,159.7132,81
507,73.8,100,"Hura crepitans",92,"ok",6729.321,82.6871,39.879803,5018.674,1710.647,42.8073,132.1192,73
507,73.8,100,"Hura crepitans",92,"ok",6815.0415,86.36607,40.19669,4997.061,1817.9805,46.169384,142.55264,63
507,73.8,100,"Hura crepitans",92,"ok",6961.966,91.20532,40.313625,5070.728,1891.238,50.891693,161.43867,77
507,73.8,100,"Hura crepitans",92,"ok",6897.5254,90.256,40.17643,5034.849,1862.6761,50.079563,158.13353,67
507,73.8,100,"Hura crepitans",92,"ok",6810.6523,88.63934,39.928776,4979.636,1831.0159,48.710567,166.32997,87
517,39.7,0,"Trichilia tuberculata",92,"ok",1698.0806,38.158943,17.192768,1315.1788,382.90176,20.966175,100.189316,51
517,39.7,0,"Trichilia tuberculata",92,"ok",1850.499,49.357555,17.781221,1330.4067,520.09235,31.576334,171.63698,82
517,39.7,0,"Trichilia tuberculata",92,"ok",1890.3986,51.23448,18.256132,1353.0637,537.33484,32.978348,181.92834,95
517,39.7,0,"Trichilia tuberculata",92,"ok",1696.1155,38.95243,17.036402,1304.2018,391.91373,21.916027,108.630455,46
517,39.7,0,"Trichilia tuberculata",92,"ok",1857.8424,46.969246,18.528133,1383.9348,473.90756,28.441114,153.26187,62
517,39.7,0,"Trichilia tuberculata",92,"ok",1737.583,40.32202,17.170149,1316.7177,420.8654,23.15187,114.42202,51
517,39.7,0,"Trichilia tuberculata",92,"ok",1830.9441,46.17377,18.45668,1378.666,452.27805,27.71709,152.96718,71
517,39.7,0,"Trichilia tuberculata",92,"ok",1705.1163,38.919277,17.483612,1321.5835,383.53284,21.435665,104.84172,47
517,39.7,0,"Trichilia tuberculata",92,"ok",1974.6104,53.618927,19.085585,1421.0181,553.5923,34.533344,204.82904,115
517,39.7,0,"Trichilia tuberculata",92,"ok",1919.8201,50.247513,18.032925,1346.772,573.04803,32.21459,172.97557,94
518,43.6,0,"Quararibea asterolepis",92,"ok",1850.0667,44.08212,17.564957,1343.4524,506.61432,26.517162,138.02919,87
518,43.6,0,"Quararibea asterolepis",92,"ok",1949.3472,48.282585,17.319012,1321.9492,627.3979,30.963572,151.20401,107
518,43.6,0,"Quararibea asterolepis",92,"ok",1816.6045,44.192688,17.027876,1300.7068,515.89777,27.16481,138.52611,96
518,43.6,0,"Quararibea asterolepis",92,"ok",1837.4507,43.045715,17.411705,1321.0085,516.4422,25.63401,128.3827,87
518,43.6,0,"Quararibea asterolepis",92,"ok",1872.5168,44.456863,17.30593,1325.4348,547.08203,27.150936,128.62155,83
518,43.6,0,"Quararibea asterolepis",92,"ok",1919.6172,46.727264,17.20075,1312.872,606.74524,29.526512,142.2255,93
518,43.6,0,"Quararibea asterolepis",92,"ok",1812.5281,45.061607,17.356579,1311.2773,501.25067,27.705027,145.55495,102
518,43.6,0,"Quararibea asterolepis",92,"ok",1876.143,44.547554,17.448418,1320.829,555.31396,27.099136,137.68517,103
518,43.6,0,"Quararibea asterolepis",92,"ok",1842.3934,43.65297,17.503666,1333.0725,509.32092,26.149305,129.32486,96
518,43.6,0,"Quararibea asterolepis",92,"ok",1831.8289,44.094963,17.227995,1312.7698,519.05914,26.866966,138.03857,96
520,81,100,"Luehea seemannii",92,"ok",5908.005,96.74854,33.42173,3501.0654,2406.9392,63.326813,212.32117,87
520,81,100,"Luehea seemannii",92,"ok",5607.4907,92.865524,31.806953,3369.2468,2238.244,61.058567,199.17784,99
520,81,100,"Luehea seemannii",92,"ok",6280.632,97.9875,38.080387,4058.8057,2221.826,59.907116,189.6554,93
520,81,100,"Luehea seemannii",92,"ok",5557.117,93.29564,31.841553,3369.6936,2187.4238,61.45409,208.28168,105
520,81,100,"Luehea seemannii",92,"ok",5980.2144,94.17378,34.223263,3752.0427,2228.1716,59.950516,188.97923,77
520,81,100,"Luehea seemannii",92,"ok",6388.702,99.858215,37.335255,4039.555,2349.1472,62.522957,204.82312,109
520,81,100,"Luehea seemannii",92,"ok",5784.4263,95.82852,32.00005,3376.9521,2407.474,63.82847,210.74045,92
520,81,100,"Luehea seemannii",92,"ok",5599.9805,90.0179,32.625942,3500.61,2099.3704,57.391956,193.30246,108
520,81,100,"Luehea seemannii",92,"ok",5884.3193,102.15018,33.15047,3525.4126,2358.9067,68.99971,235.75806,113
520,81,100,"Luehea seemannii",92,"ok",5961.0303,93.71495,35.395638,3840.3147,2120.7153,58.31931,194.1002,90
522,40.4,100,"Hura crepitans",92,"ok",2642.4658,57.636795,23.654316,1966.6251,675.84076,33.98248,172.74641,107
522,40.4,100,"Hura crepitans",92,"ok",2671.0464,60.578682,23.770903,1977.1658,693.8805,36.80778,196.65234,129
522,40.4,100,"Hura crepitans",92,"ok",2612.0208,56.88037,23.033293,1941.6011,670.4197,33.847076,172.61038,104
522,40.4,100,"Hura crepitans",92,"ok",2576.7983,57.5653,23.528975,1962.4921,614.30634,34.036327,187.07094,123
522,40.4,100,"Hura crepitans",92,"ok",2757.5986,62.916443,23.913145,1984.5458,773.0529,39.0033,195.76675,123
522,40.4,100,"Hura crepitans",92,"ok",2657.1716,60.584183,23.869078,1974.1329,683.03864,36.715103,200.15723,147
522,40.4,100,"Hura crepitans",92,"ok",2679.9507,61.20082,23.423046,1961.4326,718.518,37.777775,196.75935,126
522,40.4,100,"Hura crepitans",92,"ok",2627.8547,59.44909,23.15381,1960.2758,667.5789,36.295277,197.75354,126
522,40.4,100,"Hura crepitans",92,"ok",2639.8154,58.50862,24.04336,1987.5747,652.24084,34.46526,181.06686,122
522,40.4,100,"Hura crepitans",92,"ok",2441.2532,48.939804,22.558012,1921.3171,519.936,26.381792,139.07048,82
584,40.5,5,"Protium tenuifolium",94,"ok",2974.901,94.96014,21.0243,1772.7639,1202.137,73.93584,439.90704,300
584,40.5,5,"Protium tenuifolium",94,"ok",2800.4717,87.339294,19.351078,1679.5425,1120.9291,67.98822,409.9497,303
584,40.5,5,"Protium tenuifolium",94,"ok",2958.736,88.40626,21.512602,1833.4541,1125.282,66.893654,391.7741,290
584,40.5,5,"Protium tenuifolium",94,"ok",2827.4966,86.53549,19.464687,1633.9548,1193.5416,67.07081,379.3315,277
584,40.5,5,"Protium tenuifolium",94,"ok",2879.5967,91.34127,20.582823,1755.168,1124.4288,70.758446,426.1109,324
584,40.5,5,"Protium tenuifolium",94,"ok",3020.4443,91.04303,20.598608,1802.3927,1218.0515,70.44442,398.60852,279
584,40.5,5,"Protium tenuifolium",94,"ok",2946.877,90.8803,20.209549,1727.4413,1219.4358,70.67075,407.56793,282
584,40.5,5,"Protium tenuifolium",94,"ok",2935.5605,87.7731,21.056858,1808.119,1127.4417,66.71624,385.75012,287
584,40.5,5,"Protium tenuifolium",94,"ok",2809.9058,85.71728,20.192503,1742.2169,1067.689,65.52477,389.4939,261
584,40.5,5,"Protium tenuifolium",94,"ok",3029.605,95.47891,21.632713,1804.2462,1225.3586,73.8462,440.39133,313
588,78.2,0,"Virola surinamensis",94,"ok",10666.461,142.7919,57.950912,8933.698,1732.7626,84.84098,383.66586,150
588,78.2,0,"Virola surinamensis",94,"ok",9875.016,130.90552,55.47886,8184.996,1690.0199,75.42665,317.90103,124
588,78.2,0,"Virola surinamensis",94,"ok",10843.605,144.80914,58.6162,8931.092,1912.5135,86.19295,347.00854,124
588,78.2,0,"Virola surinamensis",94,"ok",9872.112,133.756,56.240536,8253.214,1618.8986,77.515465,330.01395,107
588,78.2,0,"Virola surinamensis",94,"ok",10302.627,145.94183,56.110184,8258.371,2044.2557,89.83165,377.76044,141
588,78.2,0,"Virola surinamensis",94,"ok",10687.186,139.16959,58.53435,9020.124,1667.0612,80.63524,352.67892,122
588,78.2,0,"Virola surinamensis",94,"ok",9932.126,126.453094,56.763256,8353.242,1578.8839,69.68984,272.57138,98
588,78.2,0,"Virola surinamensis",94,"ok",11268.109,123.08363,63.860153,9830.448,1437.6608,59.22348,241.57466,92
588,78.2,0,"Virola surinamensis",94,"ok",12370.745,148.70026,67.473,10539.264,1831.4811,81.22726,336.72702,123
588,78.2,0,"Virola surinamensis",94,"ok",9898.465,141.92528,54.370255,7993.442,1905.0227,87.55502,358.03607,124
591,50.3,0,"Quararibea asterolepis",94,"ok",2624.6394,59.049355,21.85139,1970.5823,654.0572,37.197964,213.66695,121
591,50.3,0,"Quararibea asterolepis",94,"ok",2541.871,56.94628,21.475893,1965.3533,576.5178,35.470387,216.99808,126
591,50.3,0,"Quararibea asterolepis",94,"ok",2662.705,63.618324,21.824883,1965.8129,696.8922,41.79344,249.81606,142
591,50.3,0,"Quararibea asterolepis",94,"ok",2576.6287,60.37607,21.274681,1930.2142,646.4144,39.101387,230.147,148
591,50.3,0,"Quararibea asterolepis",94,"ok",2683.3237,65.01745,21.80086,1969.0807,714.243,43.216587,260.8013,141
591,50.3,0,"Quararibea asterolepis",94,"ok",2836.4644,73.49529,22.82406,2025.6409,810.82336,50.67123,294.42267,167
591,50.3,0,"Quararibea asterolepis",94,"ok",2593.5564,61.35966,21.684544,1951.7395,641.81696,39.675117,238.8602,141
591,50.3,0,"Quararibea asterolepis",94,"ok",2594.7751,60.947334,22.709452,2020.513,574.2622,38.237885,242.59753,152
591,50.3,0,"Quararibea asterolepis",94,"ok",2671.8284,65.4655,22.056456,1977.2101,694.6183,43.409046,264.03177,151
591,50.3,0,"Quararibea asterolepis",94,"ok",2679.2249,67.683136,21.349949,1929.3086,749.9162,46.33319,271.20163,151
612,54.2,0,"Quararibea asterolepis",91,"ok",3383.246,94.096924,23.463129,1984.9801,1398.266,70.6338,344.3181,194
612,54.2,0,"Quararibea asterolepis",91,"ok",3366.733,92.49907,23.432117,1970.8202,1395.9126,69.066956,317.28876,176
612,54.2,0,"Quararibea asterolepis",91,"ok",3253.0752,87.28882,23.423698,1978.9708,1274.1045,63.86512,298.04102,170
612,54.2,0,"Quararibea asterolepis",91,"ok",3278.2456,89.96534,23.271154,1951.6661,1326.5793,66.69418,310.5,181
612,54.2,0,"Quararibea asterolepis",91,"ok",3290.8237,86.99022,23.481726,2001.3792,1289.4445,63.508495,287.6986,154
612,54.2,0,"Quararibea asterolepis",91,"ok",3219.1873,84.22029,23.054548,1951.627,1267.5603,61.165745,284.36157,165
612,54.2,0,"Quararibea asterolepis",91,"ok",3341.2258,91.21059,22.70563,1931.0121,1410.2137,68.50496,316.94983,172
612,54.2,0,"Quararibea asterolepis",91,"ok",3374.2915,94.66318,23.101034,1960.8518,1413.4397,71.56214,337.4797,199
612,54.2,0,"Quararibea asterolepis",91,"ok",3161.4985,84.428375,23.512386,1988.3159,1173.1827,60.91599,301.0844,179
612,54.2,0,"Quararibea asterolepis",91,"ok",3500.6504,102.34651,23.609264,1963.9342,1536.7162,78.73725,382.16425,219
673,84,5,"Chrysophyllum cainito",91,"ok",8286.688,133.23778,46.223354,6263.631,2023.058,87.01443,358.40823,162
673,84,5,"Chrysophyllum cainito",91,"ok",8617.919,130.3458,47.70251,6538.455,2079.4636,82.64328,323.81314,147
673,84,5,"Chrysophyllum cainito",91,"ok",8865.57,138.11163,48.45413,6621.4165,2244.154,89.6575,339.21655,147
673,84,5,"Chrysophyllum cainito",91,"ok",7902.081,118.0249,43.74589,5996.5615,1905.5198,74.279015,292.51666,133
673,84,5,"Chrysophyllum cainito",91,"ok",8669.313,139.71893,44.32005,6034.172,2635.1418,95.39889,346.32214,142
673,84,5,"Chrysophyllum cainito",91,"ok",8071.0757,123.67577,45.645546,6127.4995,1943.576,78.03023,312.85715,144
673,84,5,"Chrysophyllum cainito",91,"ok",8615.111,131.2848,45.876736,6178.812,2436.2996,85.40807,305.6094,134
673,84,5,"Chrysophyllum cainito",91,"ok",8679.617,139.2216,48.068203,6525.3716,2154.245,91.153404,383.40738,182
673,84,5,"Chrysophyllum cainito",91,"ok",8639.031,140.61288,46.07932,6210.377,2428.6545,94.53357,361.9678,168
673,84,5,"Chrysophyllum cainito",91,"ok",8205.52,129.67685,44.40851,6004.2905,2201.229,85.26835,334.95444,151
681,44.8,100,"Beilschmiedia pendula",91,"ok",3510.3584,67.95189,25.732594,2227.588,1282.7704,42.219296,135.51189,49
681,44.8,100,"Beilschmiedia pendula",91,"ok",3168.2708,64.77457,23.910336,1996.9578,1171.313,40.864227,137.45099,58
681,44.8,100,"Beilschmiedia pendula",91,"ok",3050.441,67.48349,24.892614,1882.5254,1167.9154,42.590878,154.3703,75
