tag,dbh,lianaLoad,species,subplot,height,crownArea,crownDepth,crownVol,regQuality,ptQuality
2178,1059,0,Aspidosperma spruceanum,74,38.651,152.0329615,18.891,1239.120824,good,ok
2326,592,0,Alseis blackiana,72,28.015,96.7302845,14.824,583.7636126,good,ok
2337,508,0,Quararibea asterolepis,72,26.909,55.6185555,13.579,267.5747611,good,ok
2467,520,0,Alseis blackiana,69,28.666,108.932059,17.385,692.2476204,bad,ok
2470,382,55,Alseis blackiana,69,24.504,43.8432735,15.374,204.4146052,bad,ok
2471,1097,100,Prioria copaifera,69,39.09,271.303138,30.129,1993.421644,good,ok
2475,388,0,Trichilia tuberculata,69,27.915,106.986535,15.013,520.4605795,good,ok
2496,515,0,Beilschmiedia pendula,72,29.323,78.303497,15.492,518.5573451,good,ok
2500,778,20,Guapira standleyana,72,36.399,137.5911295,19.942,927.8363528,good,ok
2681,505,25,Alseis blackiana,68,22.077,112.222332,17.986,550.1838743,good,ok
2683,415,0,Trichilia tuberculata,68,25.685,106.7603735,17.434,580.0492207,good,ok
2685,399,35,Gustavia superba,68,20.077,66.670325,12.576,267.8134384,good,ok
2838,595,100,Hura crepitans,68,26.549,130.8627545,14.484,336.3341993,good,ok
2846,478,95,Apeiba membranacea,68,23.351,79.8495065,14.77,217.527046,good,ok
2854,625,0,Dipteryx oleifera,65,38.25,274.092886,25.888,2076.097922,good,ok
2858,765,50,Ormosia macrocalyx,65,34.321,120.5545225,15.13,524.5163772,good,ok
2861,649,50,Apeiba membranacea,65,25.405,89.614734,14.154,316.9339007,good,ok
3028,403,0,Luehea seemannii,65,24.834,68.429138,15.234,261.0382943,good,ok
3031,662,0,Cavanillesia platanifolia,65,29.996,75.7217285,6.355,151.6274343,bad,ok
3115,367,100,Alseis blackiana,64,23.112,55.6121325,11.349,207.4549427,good,ok
3120,387,100,Alseis blackiana,64,23.235,64.721769,12.624,178.2114553,good,ok
3122,542,0,Ormosia coccinea,64,30.983,177.5684295,13.082,645.8528736,good,ok
3124,755,0,Pseudobombax septenatum,64,33.011,172.057933,13.546,434.2609017,good,ok
3130,335,95,Alseis blackiana,64,23.695,17.652964,11.424,75.0832051,good,ok
3135,403,90,Alseis blackiana,64,22.575,28.531512,11.104,95.85016341,good,ok
3141,787,100,Apeiba membranacea,64,22.794,28.8331955,10.54,100.2744058,good,ok
3145,410,100,Alseis blackiana,64,18.622,16.3351525,11.641,40.10123483,good,ok
3554,470,0,Alseis blackiana,59,22.002,65.645191,14.611,331.1191364,good,ok
3557,585,80,Guazuma ulmifolia,59,28.703,175.0818695,21.562,640.5988182,good,ok
3562,550,0,Jacaranda copaia,59,30.153,128.6861615,10.401,342.5069524,good,ok
3600,462,0,Alseis blackiana,58,31.459,98.387075,25.578,745.840693,good,ok
3602,473,0,Alseis blackiana,58,29.234,133.1439475,16.24,928.8416676,good,ok
3603,1325,0,Cavanillesia platanifolia,58,40.476,210.5534405,17.875,677.0950555,good,ok
3608,1453,0,Ceiba pentandra,58,40.077,371.379735,12.756,816.0155137,good,ok
3609,209,0,Ocotea whitei,58,32.551,139.595372,17.529,734.270109,good,ok
3612,540,0,Alseis blackiana,58,33.184,164.1850935,21.874,1370.697202,good,ok
3613,579,0,Macrocnemum roseum,58,26.486,124.8647855,23.735,914.6842743,good,ok
3679,408,0,Quararibea asterolepis,58,27.082,37.923743,18.315,346.9097206,good,ok
3680,390,0,Quararibea asterolepis,58,28.611,54.2420605,18.173,340.6470362,good,ok
3681,885,0,Brosimum alicastrum,58,42.777,275.981272,29.807,1310.15076,good,ok
3682,685,0,Terminalia oblonga,58,40.929,265.884786,36.586,1776.797003,good,ok
3730,540,0,Aspidosperma spruceanum,59,38.769,90.694865,18.518,670.0859532,good,ok
3734,610,10,Tetragastris panamensis,59,33.467,222.4053065,19.793,1531.196517,good,ok
3738,758,80,Quararibea asterolepis,59,31.842,99.4986485,16.483,676.7778777,good,ok
